city,state,state_short_name,latitude,longitude
Abilene,Texas,TX,32.4545,-99.7381
Akron,Ohio,OH,41.0805,-81.5214
Albuquerque,New Mexico,NM,35.1056,-106.6474
Alexandria,Virginia,VA,38.8183,-77.082
Allentown,Pennsylvania,PA,40.594,-75.4782
Amarillo,Texas,TX,35.1978,-101.8287
Anaheim,California,CA,33.8555,-117.7601
Anchorage,Alaska,AK,61.2176,-149.8953
Ann Arbor,Michigan,MI,42.2756,-83.7313
Antioch,California,CA,37.9775,-121.7976
Arlington,Texas,TX,32.7007,-97.1247
Arvada,Colorado,CO,39.8097,-105.1066
Athens,Georgia,GA,33.9496,-83.3701
Atlanta,Georgia,GA,33.7629,-84.4227
Augusta,Georgia,GA,33.3655,-82.0734
Aurora,Colorado,CO,39.7082,-104.8235
Aurora,Illinois,IL,41.7635,-88.2901
Austin,Texas,TX,30.3072,-97.756
Bakersfield,California,CA,35.3212,-119.0183
Baltimore,Maryland,MD,39.3002,-76.6105
Baton Rouge,Louisiana,LA,30.4485,-91.1259
Beaumont,Texas,TX,30.0843,-94.1458
Bellevue,Washington,WA,47.5978,-122.1565
Berkeley,California,CA,37.8667,-122.2991
Billings,Montana,MT,45.7895,-108.5499
Birmingham,Alabama,AL,33.5274,-86.799
Boise,Idaho,ID,43.5985,-116.2311
Boston,Massachusetts,MA,42.332,-71.0202
Boulder,Colorado,CO,40.0175,-105.2797
Bridgeport,Connecticut,CT,41.1874,-73.1957
Broken Arrow,Oklahoma,OK,36.0365,-95.781
Brownsville,Texas,TX,26.0183,-97.4538
Buffalo,New York,NY,42.8925,-78.8597
Burbank,California,CA,34.189,-118.3249
Cambridge,Massachusetts,MA,42.376,-71.1183
Cape Coral,Florida,FL,26.6431,-81.9973
Carlsbad,California,CA,33.1239,-117.2828
Carrollton,Texas,TX,32.9884,-96.8998
Cary,North Carolina,NC,35.7821,-78.8141
Cedar Rapids,Iowa,IA,41.967,-91.6778
Centennial,Colorado,CO,39.5906,-104.8691
Chandler,Arizona,AZ,33.2829,-111.8549
Charleston,South Carolina,SC,32.8179,-79.9589
Charlotte,North Carolina,NC,35.2087,-80.8307
Chattanooga,Tennessee,TN,35.0665,-85.2471
Chesapeake,Virginia,VA,36.6794,-76.3018
Chicago,Illinois,IL,41.8376,-87.6818
Chula Vista,California,CA,32.6277,-117.0152
Cincinnati,Ohio,OH,39.1399,-84.5064
Clarksville,Tennessee,TN,36.5664,-87.3452
Clearwater,Florida,FL,27.9795,-82.7663
Cleveland,Ohio,OH,41.4781,-81.6795
Clovis,California,CA,36.4931,-119.4211
College Station,Texas,TX,30.6013,-96.3144
Colorado Springs,Colorado,CO,38.8673,-104.7607
Columbia,South Carolina,SC,34.0298,-80.8966
Columbia,Missouri,MO,38.9479,-92.3261
Columbus,Ohio,OH,39.9848,-82.985
Columbus,Georgia,GA,32.5102,-84.8749
Concord,California,CA,37.9722,-122.0016
Coral Springs,Florida,FL,26.2708,-80.2593
Corona,California,CA,33.8624,-117.5639
Corpus Christi,Texas,TX,27.7543,-97.1734
Costa Mesa,California,CA,33.6659,-117.9123
Dallas,Texas,TX,32.7757,-96.7967
Daly City,California,CA,37.7009,-122.465
Davenport,Iowa,IA,41.5541,-90.604
Davie,Florida,FL,26.0814,-80.2803
Dayton,Ohio,OH,39.7774,-84.1996
Denton,Texas,TX,33.2151,-97.1417
Denver,Colorado,CO,39.7618,-104.8806
Des Moines,Iowa,IA,41.5739,-93.6167
Detroit,Michigan,MI,42.383,-83.1022
Downey,California,CA,33.9382,-118.1309
Durham,North Carolina,NC,35.981,-78.9056
Edison,New Jersey,NJ,40.504,-74.3494
El Cajon,California,CA,32.8017,-116.9605
El Monte,California,CA,34.0746,-118.0291
El Paso,Texas,TX,31.8484,-106.427
Elgin,Illinois,IL,42.0396,-88.3217
Elizabeth,New Jersey,NJ,40.6663,-74.1935
Elk Grove,California,CA,38.4144,-121.3849
Escondido,California,CA,33.1336,-117.0732
Eugene,Oregon,OR,44.0567,-123.1162
Evansville,Indiana,IN,37.9877,-87.5347
Everett,Washington,WA,48.0033,-122.1742
Fairfield,California,CA,38.2568,-122.0397
Fargo,North Dakota,ND,46.8652,-96.829
Fayetteville,North Carolina,NC,35.0851,-78.9803
Fontana,California,CA,34.1088,-117.4627
Fort Collins,Colorado,CO,40.5482,-105.0648
Fort Lauderdale,Florida,FL,26.1413,-80.1439
Fort Wayne,Indiana,IN,41.0882,-85.1439
Fort Worth,Texas,TX,32.7795,-97.3463
Fremont,California,CA,37.4944,-121.9411
Fresno,California,CA,36.7827,-119.7945
Frisco,Texas,TX,33.151,-96.8193
Fullerton,California,CA,33.8857,-117.928
Gainesville,Florida,FL,29.6788,-82.3459
Garden Grove,California,CA,33.7788,-117.9605
Garland,Texas,TX,32.9098,-96.6304
Gilbert,Arizona,AZ,33.3102,-111.7422
Glendale,Arizona,AZ,33.5331,-112.1899
Glendale,California,CA,34.1814,-118.2458
Grand Prairie,Texas,TX,32.6842,-97.021
Grand Rapids,Michigan,MI,42.9612,-85.6556
Greeley,Colorado,CO,40.4167,-104.7167
Green Bay,Wisconsin,WI,44.5207,-87.9842
Greensboro,North Carolina,NC,36.0965,-79.8271
Gresham,Oregon,OR,45.5023,-122.4416
Hampton,Virginia,VA,37.048,-76.2971
Hartford,Connecticut,CT,41.766,-72.6833
Hayward,California,CA,37.6281,-122.1063
Henderson,Nevada,NV,36.0122,-115.0375
Hialeah,Florida,FL,25.8699,-80.3029
High Point,North Carolina,NC,35.9855,-79.9902
Hillsboro,Oregon,OR,45.5167,-122.9833
Hollywood,Florida,FL,26.0311,-80.1646
